iter	MultiClass
0	1.087938204
1	1.078971925
2	1.071727818
3	1.065470584
4	1.060466678
5	1.055587404
6	1.051273232
7	1.046818876
8	1.043119251
9	1.039620053
10	1.03672456
11	1.034298762
12	1.031642991
13	1.029380824
14	1.026547914
15	1.024508705
16	1.022643439
17	1.021026726
18	1.019524042
19	1.017744433
20	1.015787732
21	1.014107542
22	1.012533814
23	1.011134503
24	1.008463892
25	1.007255071
26	1.006108591
27	1.004739871
28	1.003906365
29	1.002793969
30	1.001976708
31	1.000677497
32	0.9993024141
33	0.9978269064
34	0.9964779712
35	0.9951352327
36	0.9941690481
37	0.9928711201
38	0.9919562188
39	0.9902129069
40	0.9887143997
41	0.9872374414
42	0.9866720319
43	0.9859539638
44	0.984405184
45	0.9839213779
46	0.9834681102
47	0.9823455535
48	0.9817962024
49	0.9810631524
50	0.9798301376
51	0.9788770794
52	0.9776332319
53	0.9766377025
54	0.9757374695
55	0.974835456
56	0.9736568329
57	0.9723669465
58	0.9719461294
59	0.971353646
60	0.970866355
61	0.9697405574
62	0.9685184701
63	0.9680678218
64	0.9674041447
65	0.9668353831
66	0.9659059163
67	0.9654173464
68	0.9641387748
69	0.9637809734
70	0.9632508627
71	0.9623589696
72	0.9611570641
73	0.9600467329
74	0.9596921703
75	0.9594514188
76	0.9592255263
77	0.9583559004
78	0.9573858735
79	0.956893508
80	0.9563632028
81	0.9557730689
82	0.9547777705
83	0.9539391183
84	0.9533211489
85	0.9523646023
86	0.952043757
87	0.9511505774
88	0.9502889254
89	0.9495821986
90	0.9487548818
91	0.948054679
92	0.9465356842
93	0.9463344479
94	0.9460139819
95	0.9456269275
96	0.9450000986
97	0.9442483167
98	0.943904788
99	0.9429916034
100	0.9420624494
101	0.9418103561
102	0.9410068397
103	0.9403177507
104	0.9397993165
105	0.938850312
106	0.9380895611
107	0.9372726378
108	0.9362029042
109	0.9356387113
110	0.9349450031
111	0.9344148274
112	0.9334766432
113	0.9330063121
114	0.9327381173
115	0.9317729359
116	0.9307423168
117	0.9300972134
118	0.9293042164
119	0.9282501611
120	0.9274409716
121	0.9263319069
122	0.925803405
123	0.9252603867
124	0.9243939798
125	0.9232678511
126	0.9225543095
127	0.9220524138
128	0.921088387
129	0.9197142199
130	0.918790267
131	0.9181539865
132	0.9175358818
133	0.9171487277
134	0.9167373687
135	0.9161236706
136	0.9155815431
137	0.9145519885
138	0.9136001447
139	0.9128692577
140	0.9121164535
141	0.9114976567
142	0.9108406424
143	0.9106312163
144	0.9101813274
145	0.909404203
146	0.9083835363
147	0.9078823806
148	0.9075468629
149	0.9067914856
150	0.9056667977
151	0.9053538069
152	0.9048167809
153	0.9040078568
154	0.9032919825
155	0.902863404
156	0.9021553853
157	0.9016893125
158	0.9010395679
159	0.9003642601
160	0.8992339647
161	0.8986139627
162	0.8977877865
163	0.8971975812
164	0.8967250355
165	0.8961964956
166	0.895451857
167	0.8947041242
168	0.8941876256
169	0.8937206978
170	0.8927763397
171	0.8922778084
172	0.8918454791
173	0.8911223213
174	0.8904694672
175	0.8892559288
176	0.8885822343
177	0.8879441033
178	0.8872050748
179	0.8867735204
180	0.8865576669
181	0.8856880016
182	0.8851305643
183	0.8844992742
184	0.8840686065
185	0.8830157095
186	0.88215639
187	0.8813153384
188	0.880762127
189	0.8798341208
190	0.8794801531
191	0.8784422713
192	0.8779845438
193	0.8768313287
194	0.8762375808
195	0.8757535119
196	0.8752735185
197	0.8748964736
198	0.8739088893
199	0.8731433343
200	0.8728246012
201	0.8712676881
202	0.8702845005
203	0.8699159498
204	0.8692447362
205	0.8690430673
206	0.8682259062
207	0.8678011087
208	0.8670287479
209	0.8662095692
210	0.8659818738
211	0.8652827131
212	0.8647214305
213	0.8644608403
214	0.863473704
215	0.8621378187
216	0.8612534435
217	0.8606818005
218	0.8602152854
219	0.8597371358
220	0.8592183746
221	0.8587977088
222	0.8577714105
223	0.8570039735
224	0.8566041554
225	0.8556748776
226	0.8548200599
227	0.8542727247
228	0.8537726665
229	0.8526176304
230	0.852179174
231	0.8514396366
232	0.8505346597
233	0.8494805276
234	0.8487867025
235	0.8484098552
236	0.8475266068
237	0.8468244232
238	0.8461297605
239	0.8456110011
240	0.8451930306
241	0.8445762923
242	0.8438021624
243	0.8436023793
244	0.8426999071
245	0.8417505501
246	0.8409435963
247	0.8402149072
248	0.839861952
249	0.8390556624
250	0.838495588
251	0.8374547613
252	0.8366199132
253	0.8358703806
254	0.8349887048
255	0.8344286525
256	0.8333641424
257	0.8326555101
258	0.8315680351
259	0.8313481916
260	0.8303811821
261	0.8293750419
262	0.8285310891
263	0.8281764562
264	0.8277991938
265	0.8273908678
266	0.826806202
267	0.8263376488
268	0.8254806749
269	0.824978881
270	0.8244247394
271	0.8237706768
272	0.8232430648
273	0.8228165851
274	0.8222013778
275	0.8217003612
276	0.8209514836
277	0.8204541821
278	0.8198396377
279	0.8190875899
280	0.8182498722
281	0.8179391333
282	0.8171623533
283	0.8164064444
284	0.8154099591
285	0.81501897
286	0.8144416161
287	0.8140453003
288	0.813296553
289	0.8126887967
290	0.811939639
291	0.8115785395
292	0.8108715273
293	0.8099660546
294	0.8089502262
295	0.807862946
296	0.8073591024
297	0.806865034
298	0.8064754719
299	0.8060818366
300	0.8055211454
301	0.8047785248
302	0.8042043676
303	0.8036148888
304	0.803177541
305	0.8028238244
306	0.8019467322
307	0.8015078565
308	0.8007093606
309	0.7999543192
310	0.7995138534
311	0.7992060444
312	0.7989847352
313	0.79832966
314	0.7977943943
315	0.7968514471
316	0.7963246849
317	0.7957315108
318	0.7947266651
319	0.7940732626
320	0.7929571956
321	0.7927241826
322	0.7922067213
323	0.7911479855
324	0.7904686556
325	0.789705472
326	0.789035324
327	0.7883541035
328	0.7877670435
329	0.7870423385
330	0.7866365813
331	0.7858389656
332	0.7849961501
333	0.7843306728
334	0.7833517621
335	0.7828606661
336	0.7824632855
337	0.7817597714
338	0.7814381582
339	0.7812064555
340	0.7806013926
341	0.779889908
342	0.7789649871
343	0.7785360568
344	0.7778450838
345	0.7772370662
346	0.7768220625
347	0.7762138758
348	0.7757659752
349	0.7753879547
350	0.7749964443
351	0.7741760122
352	0.7732987089
353	0.7729621904
354	0.7724556277
355	0.7717754456
356	0.7712916174
357	0.7708158734
358	0.770183103
359	0.769760413
360	0.7690061211
361	0.768474725
362	0.7681343418
363	0.7673025191
364	0.7670425608
365	0.7665816565
366	0.7663131495
367	0.7655636887
368	0.7650512957
369	0.7642008542
370	0.7639415307
371	0.7632505078
372	0.7628669515
373	0.762394416
374	0.7621162649
375	0.7617511917
376	0.7611586651
377	0.7608237665
378	0.7597218233
379	0.7590708792
380	0.7589255708
381	0.7581846163
382	0.7577731409
383	0.7570057046
384	0.7566017428
385	0.7561227661
386	0.7556658651
387	0.7551638159
388	0.7549146152
389	0.7541219554
390	0.7538034457
391	0.7531930119
392	0.7528759313
393	0.7522919916
394	0.7519228855
395	0.7511620665
396	0.7506503938
397	0.7500166653
398	0.7493600318
399	0.7487673285
400	0.7482103884
401	0.7479036876
402	0.7473869984
403	0.7469435956
404	0.7465721757
405	0.7460441189
406	0.7456708056
407	0.7450550189
408	0.7443807384
409	0.7442451208
410	0.7433891473
411	0.7425073237
412	0.7418911602
413	0.7415011614
414	0.7411608732
415	0.7406676633
416	0.7403451509
417	0.7398770486
418	0.7395357706
419	0.7387217652
420	0.7383102787
421	0.7376310376
422	0.7373880447
423	0.7371295621
424	0.7366615695
425	0.7360954856
426	0.7357257475
427	0.7351111557
428	0.7345687955
429	0.7340176188
430	0.7335320811
431	0.7328833122
432	0.7324186027
433	0.7318768086
434	0.7312782251
435	0.7305183079
436	0.7300592376
437	0.7297615224
438	0.729304496
439	0.7285661408
440	0.7278417191
441	0.7274567381
442	0.7265529269
443	0.725807695
444	0.7255761132
445	0.72494293
446	0.7243898348
447	0.7240042696
448	0.7232368604
449	0.7227575862
450	0.7221487667
451	0.7217947812
452	0.7213418435
453	0.7207237646
454	0.7200251634
455	0.7195737993
456	0.7193288979
457	0.7185334436
458	0.7176343616
459	0.7169160865
460	0.7163466387
461	0.7156260698
462	0.7146900933
463	0.7141960312
464	0.7137844425
465	0.7133641103
466	0.7127159484
467	0.7121650769
468	0.7119189858
469	0.7112570799
470	0.710773271
471	0.7101624733
472	0.7095509563
473	0.7089329885
474	0.7084179174
475	0.7076093862
476	0.7074726855
477	0.7064407742
478	0.7061350782
479	0.7055135336
480	0.7050385244
481	0.7042115687
482	0.7035565625
483	0.7031586637
484	0.7028250945
485	0.7024878385
486	0.7023002522
487	0.7014548069
488	0.7010721014
489	0.7006880513
490	0.7004006543
491	0.7000786615
492	0.6995238796
493	0.6987869491
494	0.6982542226
495	0.6979701271
496	0.697293762
497	0.6969520578
498	0.6963115584
499	0.6959058602
500	0.6955659934
501	0.6950808768
502	0.6946705484
503	0.6940418076
504	0.6935803229
505	0.693118426
506	0.6927525959
507	0.6924109829
508	0.6918385864
509	0.6910311403
510	0.6905274044
511	0.6900798902
512	0.6896360231
513	0.6890109784
514	0.6884503333
515	0.6880929863
516	0.6877352215
517	0.6873857625
518	0.6868276142
519	0.6860635317
520	0.6858713399
521	0.6853478931
522	0.6846191266
523	0.6842112394
524	0.6836752335
525	0.683264169
526	0.6828138123
527	0.6823016841
528	0.6814916412
529	0.6807698772
530	0.6805941989
531	0.67995685
532	0.6795831838
533	0.6791292116
534	0.6788144426
535	0.67865219
536	0.6781607227
537	0.6774311909
538	0.6768927052
539	0.6763229152
540	0.6761426204
541	0.6756544304
542	0.6751350112
543	0.6745086858
544	0.674300012
545	0.6738043846
546	0.6731413669
547	0.6727370343
548	0.6724186069
549	0.6716873387
550	0.6713020858
551	0.6708493214
552	0.6699040091
553	0.6694086918
554	0.6688622186
555	0.6686460805
556	0.6681243641
557	0.6675996853
558	0.6672451976
559	0.6667602667
560	0.6664965761
561	0.6659778605
562	0.6655915331
563	0.6651575333
564	0.6649100745
565	0.6646345593
566	0.6641512589
567	0.6637737538
568	0.6634842539
569	0.6629864627
570	0.662318018
571	0.6620872924
572	0.661689216
573	0.6610229356
574	0.6606111991
575	0.6602303423
576	0.6596424452
577	0.6594123575
578	0.6587962708
579	0.6582424619
580	0.6579624733
581	0.6574897644
582	0.6572723504
583	0.656761959
584	0.6562151631
585	0.6554932174
586	0.6552810461
587	0.654666134
588	0.6542218516
589	0.6536700467
590	0.6533853721
591	0.6528060763
592	0.6523946436
593	0.6518886275
594	0.6516770324
595	0.6513226928
596	0.6509984556
597	0.6504141371
598	0.6501173911
599	0.6496537029
600	0.6494041685
601	0.6487781748
602	0.6485347677
603	0.6480117387
604	0.6477238479
605	0.6473718871
606	0.6471737482
607	0.6469435804
608	0.6463591962
609	0.6460232967
610	0.6456711117
611	0.6451608365
612	0.6444719113
613	0.6441647853
614	0.6441143583
615	0.6437024371
616	0.6433940268
617	0.6430004464
618	0.6426448176
619	0.6424704028
620	0.6422226715
621	0.6416196317
622	0.6410244087
623	0.6406799889
624	0.6403746722
625	0.6402405036
626	0.6396490302
627	0.6391098242
628	0.6386763824
629	0.6379975017
630	0.6375890984
631	0.6371883362
632	0.636858401
633	0.6362257985
634	0.6357462667
635	0.6353979782
636	0.6348412553
637	0.6342748379
638	0.6336773471
639	0.6334122803
640	0.6330328254
641	0.6328191218
642	0.6325744414
643	0.6324085902
644	0.6321140381
645	0.6316312853
646	0.6310337898
647	0.6307467534
648	0.6301925085
649	0.6298950793
650	0.629356065
651	0.6289404904
652	0.6285321604
653	0.6281508002
654	0.6276228123
655	0.6272940186
656	0.6269831002
657	0.6265496873
658	0.6262976714
659	0.6259522872
660	0.625435538
661	0.6250820738
662	0.6244440382
663	0.623979992
664	0.6233305281
665	0.6222806263
666	0.6219834549
667	0.6217505007
668	0.6212088874
669	0.6210533986
670	0.6205524704
671	0.6201940909
672	0.6198563984
673	0.619262276
674	0.6187026379
675	0.6180506444
676	0.6177195773
677	0.6170918407
678	0.6167292402
679	0.6164707102
680	0.615844672
681	0.6154279438
682	0.6151248516
683	0.6146717925
684	0.6142553902
685	0.6137697719
686	0.6129805863
687	0.6125133201
688	0.6119508644
689	0.6113049493
690	0.6111515554
691	0.6107481468
692	0.6102610914
693	0.610036983
694	0.6094922037
695	0.6092173434
696	0.6088923237
697	0.6083366991
698	0.6077355759
699	0.6075665053
700	0.6073319619
701	0.6068129015
702	0.6063478743
703	0.6057862174
704	0.6052102035
705	0.6049715723
706	0.604089223
707	0.603962071
708	0.603773681
709	0.6035147077
710	0.6032029345
711	0.6029584112
712	0.6024397889
713	0.602239544
714	0.6017837643
715	0.6015906038
716	0.6013576944
717	0.6010202113
718	0.6006207738
719	0.60029412
720	0.5999396317
721	0.599638985
722	0.5992231252
723	0.5985192225
724	0.5983200201
725	0.5979797262
726	0.597528197
727	0.5973754871
728	0.5969642374
729	0.5964129217
730	0.5961302345
731	0.5955941026
732	0.5951692783
733	0.5946882436
734	0.5943913467
735	0.5941689679
736	0.5938093897
737	0.5933906963
738	0.5929837842
739	0.5926221647
740	0.5923187631
741	0.5919457632
742	0.5916330406
743	0.5910648468
744	0.5905278277
745	0.59037047
746	0.5897081382
747	0.5894570802
748	0.5891559758
749	0.5886844675
750	0.5884061694
751	0.5881127152
752	0.5876301477
753	0.5870614274
754	0.5865666522
755	0.5862974235
756	0.5857723364
757	0.5854383176
758	0.5850450132
759	0.584789653
760	0.5844501604
761	0.5840588382
762	0.5838899393
763	0.583486376
764	0.5833348804
765	0.5830042869
766	0.5826281555
767	0.5819924009
768	0.5811460364
769	0.5806728548
770	0.5802322388
771	0.57996411
772	0.579638497
773	0.5791985565
774	0.5785920922
775	0.578424316
776	0.5780120306
777	0.5776324549
778	0.5771742044
779	0.5767232938
780	0.5762362223
781	0.5758319123
782	0.5752521329
783	0.5749196423
784	0.5744892599
785	0.5740064644
786	0.5735929791
787	0.5731170212
788	0.5727751307
789	0.5721086114
790	0.5714792791
791	0.5712480393
792	0.5706944029
793	0.5702692226
794	0.5698862164
795	0.5694358222
796	0.5690914578
797	0.5688293557
798	0.5685791925
799	0.5683537493
800	0.5679110624
801	0.5676762786
802	0.5672288106
803	0.566667293
804	0.5662607254
805	0.5661456419
806	0.5654976397
807	0.5653912383
808	0.5651149609
809	0.5646800607
810	0.5644277999
811	0.5640017378
812	0.5636135552
813	0.5635142889
814	0.5633713018
815	0.5630519246
816	0.562610284
817	0.5621681473
818	0.561893418
819	0.5616802773
820	0.5613539819
821	0.5609078995
822	0.5606463871
823	0.5604096017
824	0.5601264975
825	0.5596522541
826	0.5594318276
827	0.5590169297
828	0.5582587337
829	0.5578368875
830	0.5575616244
831	0.5572182197
832	0.5567898571
833	0.5564894383
834	0.5560836268
835	0.5558485358
836	0.5555097812
837	0.5550120833
838	0.5544908254
839	0.5544374579
840	0.5541910592
841	0.5538060013
842	0.553406783
843	0.5532339308
844	0.5527726968
845	0.5523881397
846	0.5521959131
847	0.5517742777
848	0.551566108
849	0.5513356461
850	0.5508454342
851	0.5504961269
852	0.5501797255
853	0.5497054597
854	0.5494442729
855	0.5493607388
856	0.5488600842
857	0.5486228116
858	0.5484148906
859	0.5480494864
860	0.5475917287
861	0.5473278046
862	0.5469306986
863	0.5467669751
864	0.5465379133
865	0.5462611078
866	0.5461516577
867	0.5453352745
868	0.545063393
869	0.5446980578
870	0.544359678
871	0.544084036
872	0.5439097176
873	0.5437445832
874	0.5435634518
875	0.542931429
876	0.5427957238
877	0.5427172485
878	0.5423400485
879	0.5420012239
880	0.5417574175
881	0.5414290057
882	0.5411426403
883	0.5409368893
884	0.5405362371
885	0.5402227732
886	0.5401049569
887	0.5398423575
888	0.5393235822
889	0.5386530398
890	0.5384276398
891	0.5377894361
892	0.5375027364
893	0.5368938479
894	0.5364789164
895	0.5360969078
896	0.5357359407
897	0.5355622891
898	0.5352655025
899	0.5346981922
900	0.5344480448
901	0.534132221
902	0.5337393887
903	0.5335246664
904	0.5331035729
905	0.5328796849
906	0.5326247849
907	0.5321556551
908	0.5319194038
909	0.5315687379
910	0.5314679318
911	0.5312538014
912	0.5309117711
913	0.5305297338
914	0.5300289065
915	0.5296541587
916	0.5294228018
917	0.5291086115
918	0.5286200377
919	0.528316683
920	0.5279994217
921	0.527737954
922	0.5273619887
923	0.5269540532
924	0.5262193514
925	0.5259801659
926	0.5255453385
927	0.5250647081
928	0.5243637071
929	0.5241383056
930	0.5240115231
931	0.523404134
932	0.5231751476
933	0.5228437645
934	0.5221412356
935	0.5219271389
936	0.5216813095
937	0.521439599
938	0.5211793692
939	0.5209383725
940	0.5208126405
941	0.5206253448
942	0.5202630258
943	0.5198978343
944	0.519483835
945	0.5192887327
946	0.5188438372
947	0.5185117097
948	0.5182019004
949	0.517889147
950	0.5175497501
951	0.5173007604
952	0.5169360431
953	0.5163374172
954	0.5162466092
955	0.516150849
956	0.5156705255
957	0.5153199678
958	0.5150312948
959	0.5146183614
960	0.5139591833
961	0.5136237604
962	0.5134566257
963	0.5128833422
964	0.5126554761
965	0.5122345962
966	0.511844545
967	0.51168141
968	0.5114591035
969	0.5109768958
970	0.5107875833
971	0.5104477266
972	0.5101649543
973	0.5099628238
974	0.5094393301
975	0.5090748644
976	0.5086075398
977	0.5083589307
978	0.5080224689
979	0.5077357396
980	0.5074375742
