iter	Passed	Remaining
0	280	280019
1	390	194893
2	492	163520
3	606	150980
4	738	146981
5	844	139888
6	946	134292
7	1080	133939
8	1226	135051
9	1354	134093
10	1492	134190
11	1639	134996
12	1759	133619
13	1876	132153
14	1996	131099
15	2107	129630
16	2215	128107
17	2341	127723
18	2465	127312
19	2609	127863
20	2772	129241
21	2920	129832
22	3068	130329
23	3215	130776
24	3369	131391
25	3514	131671
26	3659	131869
27	3824	132768
28	3970	132927
29	4140	133886
30	4318	134978
31	4526	136926
32	4693	137541
33	4841	137556
34	5000	137869
35	5151	137948
36	5311	138239
37	5475	138615
38	5639	138956
39	5819	139660
40	5981	139920
41	6157	140446
42	6312	140485
43	6455	140262
44	6621	140528
45	6786	140751
46	6930	140520
47	7072	140277
48	7231	140352
49	7405	140702
50	7570	140866
51	7735	141025
52	7893	141046
53	8064	141275
54	8214	141132
55	8352	140792
56	8509	140782
57	8676	140913
58	8833	140884
59	8976	140635
60	9126	140486
61	9286	140491
62	9441	140425
63	9577	140068
64	9725	139895
65	9869	139674
66	10016	139479
67	10154	139171
68	10301	138995
69	10456	138927
70	10606	138781
71	10765	138749
72	10918	138646
73	11055	138340
74	11207	138226
75	11341	137888
76	11479	137604
77	11630	137481
78	11782	137367
79	11916	137043
80	12050	136724
81	12186	136430
82	12338	136323
83	12484	136143
84	12644	136109
85	12775	135780
86	12914	135531
87	13059	135341
88	13192	135036
89	13331	134795
90	13470	134555
91	13629	134519
92	13781	134410
93	13931	134272
94	14063	133977
95	14204	133758
96	14355	133643
97	14492	133389
98	14644	133282
99	14768	132918
100	14910	132721
101	15048	132489
102	15179	132198
103	15322	132008
104	15462	131797
105	15601	131580
106	15739	131361
107	15884	131197
108	16021	130966
109	16167	130808
110	16305	130592
111	16441	130360
112	16574	130101
113	16720	129949
114	16877	129886
115	17019	129702
116	17157	129487
117	17298	129299
118	17438	129104
119	17574	128879
120	17701	128592
121	17843	128416
122	17985	128236
123	18112	127955
124	18236	127653
125	18367	127404
126	18506	127214
127	18652	127070
128	18790	126870
129	18916	126595
130	19042	126323
131	19173	126079
132	19317	125926
133	19450	125702
134	19607	125635
135	19737	125390
136	19901	125365
137	20054	125266
138	20204	125148
139	20350	125010
140	20488	124818
141	20644	124737
142	20787	124577
143	20928	124408
144	21075	124271
145	21216	124099
146	21353	123907
147	21501	123777
148	21640	123600
149	21776	123397
150	21927	123288
151	22071	123133
152	22199	122896
153	22333	122689
154	22485	122584
155	22619	122377
156	22749	122149
157	22884	121954
158	23030	121817
159	23192	121762
160	23335	121607
